Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,366,4,10,2,4,5,15,2,1,13,1,7
2010,2013,4,474,2,7,2,6,5,1,2,1,3,5,1
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,3,0,2,10,2,13,5,1,1,2,0,0,0
2010,2013,5,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,2,223,4,7,2,6,4,8,2,3,0,0,0
2010,2013,4,0,4,10,2,6,4,20,1,2,0,0,0
2010,2013,4,0,4,10,2,6,4,20,1,2,0,0,0
2010,2013,2,0,4,10,2,4,5,11,1,2,0,0,0
2010,2013,3,0,4,10,2,5,3,26,1,2,0,0,0
2010,2013,2,0,2,10,2,3,4,24,1,2,0,0,0
2010,2013,2,0,2,10,2,3,4,24,1,2,0,0,0
2010,2013,2,0,2,10,2,3,4,24,1,2,0,0,0
2010,2013,2,0,2,10,2,3,4,24,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,6,1,2,0,0,0
2010,2013,2,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,2,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,1,0,4,9,2,5,5,15,1,2,0,0,0
