Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,2.0,921.0,2.0,7.0,2.0,4.0,2.0,24.0,2.0,10.0,4.0,1.0,0.0
2010.0,2013.0,3.0,516.0,4.0,11.0,2.0,4.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,235.0,4.0,7.0,2.0,3.0,0.0,23.0,3.0,2.0,23.0,1.0,0.0
2010.0,2013.0,2.0,169.0,4.0,11.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,1.0,182.0,4.0,11.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,90.0,12.0,7.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,442.0,4.0,7.0,1.0,3.0,2.0,21.0,2.0,6.0,21.0,1.0,0.0
2010.0,2013.0,4.0,194.0,4.0,11.0,2.0,5.0,0.0,23.0,7.0,2.0,23.0,1.0,0.0
2010.0,2013.0,4.0,0.0,2.0,7.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,174.0,4.0,7.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,880.0,4.0,7.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,4.0,0.0,4.0,7.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,134.0,4.0,11.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,4.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,283.0,2.0,11.0,1.0,1.0,2.0,7.0,5.0,6.0,21.0,1.0,0.0
2010.0,2013.0,2.0,95.0,4.0,11.0,2.0,3.0,0.0,23.0,12.0,7.0,7.0,1.0,0.0
2010.0,2013.0,1.0,547.0,2.0,11.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,4.0,1037.0,4.0,7.0,2.0,4.0,3.0,18.0,2.0,7.0,22.0,1.0,0.0
2010.0,2013.0,4.0,0.0,4.0,7.0,1.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,4.0,11.0,2.0,4.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,2.0,11.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,500.0,2.0,11.0,2.0,3.0,2.0,21.0,4.0,10.0,18.0,1.0,0.0
2010.0,2013.0,3.0,0.0,12.0,11.0,2.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,4.0,7.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,10.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,10.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,341.0,4.0,2.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,511.0,4.0,11.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,1035.0,2.0,11.0,2.0,1.0,4.0,3.0,2.0,6.0,21.0,1.0,0.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,2.0,11.0,2.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,2.0,11.0,2.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,2.0,11.0,2.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,2.0,11.0,2.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,293.0,4.0,11.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,305.0,4.0,11.0,2.0,5.0,0.0,23.0,5.0,7.0,11.0,1.0,0.0
2010.0,2013.0,4.0,0.0,4.0,11.0,2.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
